Size,Bubble,Selection,Insertion,Merge,Quick
1000,0.003000,0.001000,0.000000,0.002000,0.000000
2000,0.012000,0.004000,0.004000,0.001000,0.000000
5000,0.043000,0.015000,0.013000,0.002000,0.000000
7000,0.067000,0.025000,0.018000,0.002000,0.001000
10000,0.142000,0.065000,0.042000,0.005000,0.001000
